Transaction_ID,Date,Month,Quarter,Region,Category,Product,Unit_Price,Quantity,Discount_Percent,Discount_Amount,Revenue,Payment_Method,Salesperson_ID,Customer_ID
TXN00095,2024-05-09,May,Q2,East,Food & Beverages,Tea Set,151.38,2,0,0.0,302.76,Credit Card,SP013,CUST9431
TXN00096,2024-09-22,September,Q3,East,Electronics,Smart TV,39648.23,1,0,0.0,39648.23,Cash,SP016,CUST8242
TXN00097,2024-08-12,August,Q3,West,Electronics,Smartphone,25029.22,3,0,0.0,75087.66,Credit Card,SP001,CUST4920
TXN00098,2024-02-17,February,Q1,South,Clothing,Jacket,2888.94,9,5,1300.02,24700.44,Credit Card,SP015,CUST2924
TXN00099,2024-12-27,December,Q4,East,Clothing,Dress,4683.47,5,10,2341.74,21075.61,Net Banking,SP016,CUST8736
TXN00100,2024-11-02,November,Q4,Central,Clothing,Dress,2890.95,7,0,0.0,20236.65,Debit Card,SP003,CUST5526
TXN00101,2024-01-02,January,Q1,East,Food & Beverages,Juice Box,1407.95,9,0,0.0,12671.55,UPI,SP019,CUST9022
TXN00102,2024-10-09,October,Q4,Central,Clothing,Dress,2831.33,6,0,0.0,16987.98,Net Banking,SP015,CUST6272
TXN00103,2024-07-29,July,Q3,North,Clothing,Jeans,2987.45,4,20,2389.96,9559.84,UPI,SP016,CUST7246
TXN00104,2024-09-14,September,Q3,Central,Food & Beverages,Protein Bar,793.46,1,0,0.0,793.46,UPI,SP004,CUST8213
TXN00105,2024-03-14,March,Q1,West,Electronics,Smart TV,73283.13,1,15,10992.47,62290.66,Debit Card,SP003,CUST8692
TXN00106,2024-02-11,February,Q1,East,Furniture,Bookshelf,31916.45,7,15,33512.27,189902.88,Cash,SP013,CUST6188
TXN00107,2024-11-19,November,Q4,East,Food & Beverages,Tea Set,150.26,2,0,0.0,300.52,Debit Card,SP003,CUST8110
TXN00108,2024-01-24,January,Q1,East,Electronics,Laptop,38275.89,5,0,0.0,191379.45,Credit Card,SP010,CUST6873
TXN00109,2024-10-16,October,Q4,South,Furniture,Sofa,8987.35,9,5,4044.31,76841.84,Debit Card,SP006,CUST2293
TXN00110,2024-10-25,October,Q4,South,Sports & Outdoors,Bicycle,18781.46,4,5,3756.29,71369.55,Debit Card,SP015,CUST5161
TXN00111,2024-12-12,December,Q4,Central,Food & Beverages,Juice Box,1033.58,8,0,0.0,8268.64,Debit Card,SP003,CUST8237
TXN00112,2024-05-08,May,Q2,West,Furniture,Dining Table,16359.4,7,15,17177.37,97338.43,UPI,SP007,CUST7302
TXN00113,2024-10-21,October,Q4,East,Food & Beverages,Coffee Pack,432.09,10,0,0.0,4320.9,UPI,SP001,CUST7484
TXN00114,2024-09-11,September,Q3,East,Furniture,Office Chair,29164.59,1,10,2916.46,26248.13,Debit Card,SP020,CUST6772
TXN00115,2024-02-19,February,Q1,North,Clothing,Jeans,3218.19,3,15,1448.19,8206.38,UPI,SP015,CUST1546
TXN00116,2024-06-16,June,Q2,West,Sports & Outdoors,Running Shoes,22104.61,2,0,0.0,44209.22,Debit Card,SP007,CUST3165
TXN00117,2024-03-25,March,Q1,East,Sports & Outdoors,Running Shoes,16160.15,5,20,16160.15,64640.6,Net Banking,SP010,CUST6549
TXN00118,2024-04-25,April,Q2,West,Electronics,Headphones,77217.0,3,20,46330.2,185320.8,Cash,SP012,CUST2479
TXN00119,2024-07-07,July,Q3,East,Food & Beverages,Coffee Pack,470.24,2,5,47.02,893.46,Cash,SP013,CUST7086
TXN00120,2024-06-16,June,Q2,Central,Electronics,Smartphone,40360.77,10,10,40360.77,363246.93,Debit Card,SP003,CUST8606
TXN00121,2024-06-04,June,Q2,West,Furniture,Sofa,7600.44,1,0,0.0,7600.44,Credit Card,SP004,CUST4846
TXN00122,2024-12-22,December,Q4,Central,Sports & Outdoors,Dumbbells,11965.05,6,15,10768.54,61021.76,Net Banking,SP019,CUST3531
TXN00123,2024-05-23,May,Q2,North,Food & Beverages,Coffee Pack,1267.17,10,5,633.59,12038.11,UPI,SP007,CUST8264
TXN00124,2024-07-07,July,Q3,Central,Food & Beverages,Protein Bar,1297.63,2,15,389.29,2205.97,UPI,SP002,CUST7523
TXN00125,2024-12-05,December,Q4,South,Furniture,Desk,48473.93,8,0,0.0,387791.44,Cash,SP001,CUST1828
TXN00126,2024-02-05,February,Q1,Central,Furniture,Desk,49463.4,10,0,0.0,494634.0,Debit Card,SP019,CUST4538
TXN00127,2024-05-21,May,Q2,South,Clothing,Jacket,3939.53,10,0,0.0,39395.3,Debit Card,SP018,CUST5106
TXN00128,2024-01-08,January,Q1,East,Clothing,T-Shirt,3406.97,1,0,0.0,3406.97,Debit Card,SP019,CUST6304
TXN00129,2024-08-03,August,Q3,Central,Electronics,Smartphone,24902.56,3,15,11206.15,63501.53,Credit Card,SP003,CUST8802
TXN00130,2024-09-14,September,Q3,South,Food & Beverages,Juice Box,818.53,2,5,81.85,1555.21,Cash,SP002,CUST9543
TXN00131,2024-09-02,September,Q3,West,Furniture,Sofa,32880.35,1,0,0.0,32880.35,Net Banking,SP004,CUST9032
TXN00132,2024-03-16,March,Q1,North,Food & Beverages,Coffee Pack,1358.97,6,10,815.38,7338.44,Debit Card,SP009,CUST9984
TXN00133,2024-08-20,August,Q3,Central,Furniture,Sofa,49742.13,9,0,0.0,447679.17,Cash,SP014,CUST2624
TXN00134,2024-08-19,August,Q3,South,Electronics,Smart TV,59062.99,4,5,11812.6,224439.36,Net Banking,SP011,CUST8430
TXN00135,2024-06-09,June,Q2,East,Food & Beverages,Snack Mix,1121.46,6,5,336.44,6392.32,UPI,SP005,CUST8770
TXN00136,2024-02-19,February,Q1,East,Electronics,Laptop,67382.89,2,5,6738.29,128027.49,Debit Card,SP018,CUST1982
TXN00137,2024-06-30,June,Q2,West,Sports & Outdoors,Tent,17069.66,2,5,1706.97,32432.35,Credit Card,SP010,CUST6119
TXN00138,2024-12-02,December,Q4,West,Furniture,Office Chair,29740.09,4,0,0.0,118960.36,Debit Card,SP004,CUST6736
TXN00139,2024-04-25,April,Q2,West,Sports & Outdoors,Running Shoes,3889.12,5,10,1944.56,17501.04,Cash,SP020,CUST1430
TXN00140,2024-06-07,June,Q2,East,Sports & Outdoors,Running Shoes,1354.12,5,15,1015.59,5755.01,UPI,SP001,CUST3972
TXN00141,2024-11-20,November,Q4,North,Clothing,Shoes,3389.52,2,0,0.0,6779.04,Credit Card,SP017,CUST4524
TXN00142,2024-06-08,June,Q2,East,Food & Beverages,Snack Mix,735.1,3,0,0.0,2205.3,Cash,SP020,CUST2391
TXN00143,2024-12-11,December,Q4,North,Electronics,Smartphone,16805.74,10,0,0.0,168057.4,UPI,SP015,CUST7947
TXN00144,2024-09-19,September,Q3,North,Food & Beverages,Tea Set,718.86,5,0,0.0,3594.3,UPI,SP014,CUST2816
TXN00145,2024-04-22,April,Q2,West,Furniture,Dining Table,25358.37,5,0,0.0,126791.85,Cash,SP002,CUST1125
TXN00146,2024-05-10,May,Q2,East,Clothing,Jacket,4743.02,3,20,2845.81,11383.25,UPI,SP004,CUST1126
TXN00147,2024-12-26,December,Q4,South,Food & Beverages,Snack Mix,345.97,7,10,242.18,2179.61,Cash,SP018,CUST6802
TXN00148,2024-01-10,January,Q1,West,Electronics,Headphones,69632.33,1,5,3481.62,66150.71,Credit Card,SP011,CUST8033
TXN00149,2024-02-28,February,Q1,West,Sports & Outdoors,Bicycle,21430.22,7,0,0.0,150011.54,Credit Card,SP011,CUST3815
TXN00150,2024-08-11,August,Q3,North,Sports & Outdoors,Bicycle,25044.76,6,0,0.0,150268.56,Debit Card,SP014,CUST7560
TXN00151,2024-06-22,June,Q2,South,Sports & Outdoors,Yoga Mat,12175.12,5,15,9131.34,51744.26,UPI,SP006,CUST2251
TXN00152,2024-06-27,June,Q2,East,Sports & Outdoors,Yoga Mat,16152.84,4,20,12922.27,51689.09,Debit Card,SP008,CUST2684
TXN00153,2024-12-01,December,Q4,North,Clothing,Jacket,1227.18,10,0,0.0,12271.8,Debit Card,SP016,CUST8601
TXN00154,2024-11-21,November,Q4,Central,Sports & Outdoors,Tent,13742.71,10,15,20614.06,116813.04,UPI,SP011,CUST3473
TXN00155,2024-05-20,May,Q2,Central,Food & Beverages,Coffee Pack,756.49,5,20,756.49,3025.96,Credit Card,SP012,CUST9312
TXN00156,2024-07-07,July,Q3,East,Electronics,Tablet,39630.69,1,0,0.0,39630.69,Credit Card,SP003,CUST9307
TXN00157,2024-10-19,October,Q4,South,Food & Beverages,Snack Mix,912.46,1,5,45.62,866.84,UPI,SP020,CUST8792
TXN00158,2024-06-24,June,Q2,North,Sports & Outdoors,Dumbbells,28752.81,8,0,0.0,230022.48,Cash,SP006,CUST1641
TXN00159,2024-11-08,November,Q4,South,Clothing,Dress,4957.63,9,10,4461.87,40156.8,UPI,SP012,CUST5634
TXN00160,2024-11-19,November,Q4,East,Food & Beverages,Snack Mix,1184.25,10,0,0.0,11842.5,Credit Card,SP011,CUST2548
TXN00161,2024-03-17,March,Q1,East,Sports & Outdoors,Bicycle,8882.34,10,20,17764.68,71058.72,Credit Card,SP019,CUST3317
TXN00162,2024-10-31,October,Q4,North,Furniture,Bookshelf,48449.43,7,0,0.0,339146.01,UPI,SP018,CUST7171
TXN00163,2024-11-26,November,Q4,West,Furniture,Desk,34165.59,9,0,0.0,307490.31,Cash,SP012,CUST1298
TXN00164,2024-09-05,September,Q3,South,Furniture,Bookshelf,10652.62,4,0,0.0,42610.48,Debit Card,SP005,CUST3538
TXN00165,2024-10-03,October,Q4,Central,Electronics,Tablet,68332.13,2,10,13666.43,122997.83,Credit Card,SP011,CUST3147
TXN00166,2024-12-20,December,Q4,Central,Sports & Outdoors,Bicycle,5050.46,3,20,3030.28,12121.1,Debit Card,SP015,CUST1715
TXN00167,2024-11-08,November,Q4,East,Food & Beverages,Juice Box,1046.91,4,5,209.38,3978.26,Net Banking,SP008,CUST9749
TXN00168,2024-04-09,April,Q2,East,Clothing,Jacket,4838.3,8,20,7741.28,30965.12,Cash,SP015,CUST8564
TXN00169,2024-04-12,April,Q2,Central,Furniture,Sofa,26139.52,7,0,0.0,182976.64,Debit Card,SP009,CUST1854
TXN00170,2024-09-21,September,Q3,North,Food & Beverages,Juice Box,876.36,2,15,262.91,1489.81,UPI,SP003,CUST3626
TXN00171,2024-08-11,August,Q3,North,Furniture,Sofa,45454.7,3,20,27272.82,109091.28,Debit Card,SP015,CUST6727
TXN00172,2024-04-30,April,Q2,West,Electronics,Headphones,8994.27,9,0,0.0,80948.43,Credit Card,SP012,CUST4678
TXN00173,2024-03-15,March,Q1,South,Electronics,Tablet,74811.94,6,20,89774.33,359097.31,Credit Card,SP010,CUST8740
TXN00174,2024-01-10,January,Q1,East,Clothing,Dress,2408.43,1,0,0.0,2408.43,Debit Card,SP005,CUST9991
TXN00175,2024-06-03,June,Q2,North,Sports & Outdoors,Tent,12986.02,5,0,0.0,64930.1,Credit Card,SP008,CUST7878
TXN00176,2024-10-01,October,Q4,North,Sports & Outdoors,Bicycle,2352.81,8,10,1882.25,16940.23,Cash,SP019,CUST4963
TXN00177,2024-05-03,May,Q2,Central,Clothing,Jacket,2317.42,10,0,0.0,23174.2,Net Banking,SP006,CUST2402
TXN00178,2024-09-16,September,Q3,Central,Sports & Outdoors,Running Shoes,2496.54,9,10,2246.89,20221.97,Cash,SP001,CUST7397
TXN00179,2024-01-09,January,Q1,East,Food & Beverages,Coffee Pack,989.94,6,0,0.0,5939.64,Credit Card,SP012,CUST4950
TXN00180,2024-01-23,January,Q1,East,Electronics,Smart TV,60139.02,6,0,0.0,360834.12,Cash,SP011,CUST3868
TXN00181,2024-08-22,August,Q3,North,Food & Beverages,Snack Mix,984.43,3,0,0.0,2953.29,UPI,SP007,CUST1717
TXN00182,2024-07-22,July,Q3,Central,Clothing,T-Shirt,1783.3,5,10,891.65,8024.85,Net Banking,SP009,CUST1599
TXN00183,2024-12-01,December,Q4,East,Clothing,Jacket,1977.78,1,20,395.56,1582.22,UPI,SP004,CUST7029
TXN00184,2024-04-05,April,Q2,West,Food & Beverages,Snack Mix,1140.63,7,0,0.0,7984.41,Net Banking,SP012,CUST9507
TXN00185,2024-11-04,November,Q4,South,Furniture,Office Chair,36899.9,2,5,3689.99,70109.81,Cash,SP010,CUST6262
TXN00186,2024-08-16,August,Q3,Central,Electronics,Laptop,29593.99,5,0,0.0,147969.95,Net Banking,SP006,CUST8272
TXN00187,2024-08-10,August,Q3,East,Furniture,Sofa,4033.05,6,10,2419.83,21778.47,Credit Card,SP003,CUST7655
TXN00188,2024-03-14,March,Q1,Central,Furniture,Dining Table,40452.61,3,0,0.0,121357.83,Net Banking,SP002,CUST3068
TXN00189,2024-07-15,July,Q3,Central,Electronics,Smartphone,63388.65,6,0,0.0,380331.9,Credit Card,SP020,CUST3513
TXN00190,2024-03-11,March,Q1,Central,Food & Beverages,Juice Box,620.82,2,10,124.16,1117.48,UPI,SP013,CUST6150
TXN00191,2024-04-05,April,Q2,West,Furniture,Desk,48104.96,1,15,7215.74,40889.22,Cash,SP013,CUST2929
TXN00192,2024-05-26,May,Q2,West,Furniture,Bookshelf,35793.81,4,10,14317.52,128857.72,Debit Card,SP004,CUST3223
TXN00193,2024-12-15,December,Q4,East,Electronics,Headphones,17949.23,8,0,0.0,143593.84,UPI,SP003,CUST9882
TXN00194,2024-07-04,July,Q3,Central,Furniture,Bookshelf,42865.38,3,20,25719.23,102876.91,Debit Card,SP004,CUST4292
TXN00195,2024-10-10,October,Q4,Central,Clothing,Jeans,4014.75,1,0,0.0,4014.75,UPI,SP015,CUST3126
TXN00196,2024-09-02,September,Q3,Central,Sports & Outdoors,Yoga Mat,2439.57,7,15,2561.55,14515.44,Net Banking,SP014,CUST2208
TXN00197,2024-12-14,December,Q4,Central,Clothing,Jacket,3318.99,8,5,1327.6,25224.32,UPI,SP005,CUST3981
TXN00198,2024-03-04,March,Q1,Central,Clothing,Dress,2663.46,1,20,532.69,2130.77,Debit Card,SP010,CUST3697
TXN00199,2024-09-22,September,Q3,East,Clothing,Jacket,4693.27,4,0,0.0,18773.08,Credit Card,SP009,CUST4216
TXN00200,2024-09-30,September,Q3,North,Sports & Outdoors,Running Shoes,4192.52,5,10,2096.26,18866.34,Cash,SP006,CUST3526
TXN00201,2024-10-15,October,Q4,North,Clothing,Shoes,3686.97,10,0,0.0,36869.7,Credit Card,SP003,CUST1744
TXN00202,2024-11-12,November,Q4,North,Sports & Outdoors,Running Shoes,19708.33,10,5,9854.17,187229.13,Net Banking,SP018,CUST5745
TXN00203,2024-08-20,August,Q3,North,Furniture,Sofa,13754.14,7,0,0.0,96278.98,Credit Card,SP006,CUST8202
TXN00204,2024-03-14,March,Q1,East,Food & Beverages,Snack Mix,750.22,6,10,450.13,4051.19,UPI,SP012,CUST7532
TXN00205,2024-05-03,May,Q2,West,Clothing,Jacket,2720.41,2,0,0.0,5440.82,Credit Card,SP009,CUST8366
